Date,Close
2023-07-24,190.26
2023-07-25,191.12
2023-07-26,191.99
2023-07-27,190.72
2023-07-28,193.3
2023-07-31,193.91
2023-08-01,193.08
2023-08-02,190.09
2023-08-03,188.7
2023-08-04,179.64
2023-08-07,176.54
2023-08-08,177.48
2023-08-09,175.89
2023-08-10,175.67
2023-08-11,175.73
2023-08-14,177.38
2023-08-15,175.39
2023-08-16,174.52
2023-08-17,171.98
2023-08-18,172.47
2023-08-21,173.8
2023-08-22,175.18
2023-08-23,179.02
2023-08-24,174.34
2023-08-25,176.54
2023-08-28,178.1
2023-08-29,181.99
2023-08-30,185.48
2023-08-31,185.69
2023-09-01,187.27
2023-09-05,187.5
2023-09-06,180.79
2023-09-07,175.5
2023-09-08,176.12
2023-09-11,177.28
2023-09-12,174.26
2023-09-13,172.19
2023-09-14,173.7
2023-09-15,172.98
2023-09-18,175.91
2023-09-19,177.0
2023-09-20,173.46
2023-09-21,171.92
2023-09-22,172.77
2023-09-25,174.04
2023-09-26,169.97
2023-09-27,168.46
2023-09-28,168.71
2023-09-29,169.23
2023-10-02,171.74
2023-10-03,170.4
2023-10-04,171.65
2023-10-05,172.88
2023-10-06,175.43
2023-10-09,176.92
2023-10-10,176.32
2023-10-11,177.72
2023-10-12,178.62
2023-10-13,176.78
2023-10-16,176.65
2023-10-17,175.1
2023-10-18,173.8
2023-10-19,173.43
2023-10-20,170.88
2023-10-23,171.0
2023-10-24,171.43
2023-10-25,169.12
2023-10-26,164.96
2023-10-27,166.27
2023-10-30,168.32
2023-10-31,168.79
2023-11-01,171.95
2023-11-02,175.51
2023-11-03,174.6
2023-11-06,177.15
2023-11-07,179.71
2023-11-08,180.77
2023-11-09,180.3
2023-11-10,184.48
2023-11-13,182.9
2023-11-14,185.51
2023-11-15,186.08
2023-11-16,187.76
2023-11-17,187.74
2023-11-20,189.48
2023-11-21,188.68
2023-11-22,189.34
2023-11-24,188.02
2023-11-27,187.84
2023-11-28,188.44
2023-11-29,187.42
2023-11-30,188.0
2023-12-01,189.27
2023-12-04,187.48
2023-12-05,191.43
2023-12-06,190.34
2023-12-07,192.27
2023-12-08,193.7
2023-12-11,191.19
2023-12-12,192.71
2023-12-13,195.92
2023-12-14,196.07
2023-12-15,195.54
2023-12-18,193.88
2023-12-19,194.92
2023-12-20,192.83
2023-12-21,192.68
2023-12-22,191.61
2023-12-26,191.07
2023-12-27,191.16
2023-12-28,191.59
2023-12-29,190.55
2024-01-02,183.73
2024-01-03,182.36
2024-01-04,180.04
2024-01-05,179.32
2024-01-08,183.65
2024-01-09,183.24
2024-01-10,184.28
2024-01-11,183.68
2024-01-12,184.01
2024-01-16,181.74
2024-01-17,180.8
2024-01-18,186.69
2024-01-19,189.59
2024-01-22,191.9
2024-01-23,193.17
2024-01-24,192.5
2024-01-25,192.17
2024-01-26,190.44
2024-01-29,189.76
2024-01-30,186.11
2024-01-31,182.5
2024-02-01,184.94
2024-02-02,183.94
2024-02-05,185.75
2024-02-06,187.35
2024-02-07,187.46
2024-02-08,186.38
2024-02-09,187.15
2024-02-12,185.46
2024-02-13,183.37
2024-02-14,182.49
2024-02-15,182.2
2024-02-16,180.67
2024-02-20,179.92
2024-02-21,180.68
2024-02-22,182.71
2024-02-23,180.87
2024-02-26,179.53
2024-02-27,180.98
2024-02-28,179.78
2024-02-29,179.12
2024-03-01,178.04
2024-03-04,173.52
2024-03-05,168.59
2024-03-06,167.59
