Date,Close
2023-11-29,372.43
2023-11-30,372.49
2023-12-01,368.17
2023-12-04,362.89
2023-12-05,366.21
2023-12-06,362.55
2023-12-07,364.67
2023-12-08,367.89
2023-12-11,365.01
2023-12-12,368.04
2023-12-13,368.03
2023-12-14,359.73
2023-12-15,364.45
2023-12-18,366.34
2023-12-19,366.94
2023-12-20,364.34
2023-12-21,367.21
2023-12-22,368.24
2023-12-26,368.32
2023-12-27,367.74
2023-12-28,368.92
2023-12-29,369.67
2024-01-02,364.59
2024-01-03,364.32
2024-01-04,361.71
2024-01-05,361.52
2024-01-08,368.34
2024-01-09,369.43
2024-01-10,376.29
2024-01-11,378.12
2024-01-12,381.89
2024-01-16,383.66
2024-01-17,382.87
2024-01-18,387.2
2024-01-19,391.92
2024-01-22,389.8
2024-01-23,392.14
2024-01-24,395.74
2024-01-25,398.01
2024-01-26,397.09
2024-01-29,402.78
2024-01-30,401.67
2024-01-31,390.85
2024-02-01,396.94
2024-02-02,404.26
2024-02-05,398.78
2024-02-06,398.62
2024-02-07,407.04
2024-02-08,407.1
2024-02-09,413.43
2024-02-12,408.23
2024-02-13,399.44
2024-02-14,403.3
2024-02-15,400.41
2024-02-16,397.95
2024-02-20,396.7
2024-02-21,396.1
2024-02-22,405.43
2024-02-23,404.14
2024-02-26,401.38
2024-02-27,401.32
2024-02-28,401.56
2024-02-29,407.39
2024-03-01,409.22
2024-03-04,408.65
2024-03-05,396.56
2024-03-06,396.01
2024-03-07,402.96
2024-03-08,400.08
2024-03-11,398.4
2024-03-12,409.0
2024-03-13,408.83
2024-03-14,418.79
2024-03-15,410.13
2024-03-18,411.01
2024-03-19,415.04
2024-03-20,418.8
2024-03-21,422.88
2024-03-22,422.26
2024-03-25,416.47
2024-03-26,415.28
2024-03-27,415.06
2024-03-28,414.36
2024-04-01,418.15
2024-04-02,415.07
2024-04-03,414.09
2024-04-04,411.56
2024-04-05,419.09
2024-04-08,418.17
2024-04-09,419.84
2024-04-10,416.86
2024-04-11,421.46
2024-04-12,415.52
2024-04-15,407.39
2024-04-16,408.31
2024-04-17,405.61
2024-04-18,398.16
2024-04-19,393.09
2024-04-22,394.9
2024-04-23,401.41
2024-04-24,402.88
2024-04-25,393.01
2024-04-26,400.18
2024-04-29,396.17
2024-04-30,383.44
2024-05-01,388.97
2024-05-02,391.83
2024-05-03,400.51
2024-05-06,407.29
2024-05-07,403.15
2024-05-08,404.33
2024-05-09,406.09
2024-05-10,408.47
2024-05-13,407.47
2024-05-14,410.26
2024-05-15,417.44
2024-05-16,415.37
2024-05-17,414.6
2024-05-20,419.67
2024-05-21,423.32
2024-05-22,424.78
2024-05-23,421.3
2024-05-24,424.42
2024-05-28,424.58
2024-05-29,423.44
2024-05-30,409.14
2024-05-31,409.59
2024-06-03,408.0
2024-06-04,410.52
2024-06-05,418.35
2024-06-06,418.86
2024-06-07,418.2
2024-06-10,422.16
2024-06-11,426.91
2024-06-12,435.18
2024-06-13,435.69
2024-06-14,436.67
2024-06-17,442.39
2024-06-18,440.39
2024-06-20,439.75
2024-06-21,443.78
2024-06-24,441.7
2024-06-25,444.93
2024-06-26,446.13
2024-06-27,446.81
2024-06-28,440.99
2024-07-01,450.64
2024-07-02,453.15
2024-07-03,454.62
2024-07-05,461.32
2024-07-08,460.02
2024-07-09,453.41
2024-07-10,460.03
2024-07-11,448.63
2024-07-12,447.5
2024-07-15,447.9
2024-07-16,443.52
2024-07-17,437.6
2024-07-18,434.5
2024-07-19,431.28
2024-07-22,437.03
2024-07-23,438.92
2024-07-24,423.18
2024-07-25,412.82
2024-07-26,419.6
2024-07-29,421.04
2024-07-30,417.28
2024-07-31,412.77
2024-08-01,411.55
2024-08-02,403.04
2024-08-05,389.88
2024-08-06,394.28
2024-08-07,393.11
2024-08-08,397.32
2024-08-09,400.6
2024-08-12,401.38
2024-08-13,408.49
2024-08-14,411.3
2024-08-15,416.16
2024-08-16,413.63
